NAME,HUC6,OBJECTID,N,oc,wsolidityu2,wroundu2,ndvimean,etDp2000,etDp2001,etDp2002,etDp2003,etDp2004,etDp2005,etDp2006,etDp2007,etDp2008,etDp2009,etDp2010,etDp2011,etDp2012,etDp2013,etDp2014,etDp15year,petDp2000,petDp2001,petDp2002,petDp2003,petDp2004,petDp2005,petDp2006,petDp2007,petDp2008,petDp2009,petDp2010,petDp2011,petDp2012,petDp2013,petDp2014,petDp15year,n,log10oc,angularwsolidityu2,sqrtwroundu2,log10petDp15year,sqrtn,STlog10oc,STangularwsolidityu2,STsqrtwroundu2,STsqrtn
Middle Snake-Boise,170501,369,43,1.862368435,0.873647544,0.567144509,0.313846377,0.80370814,0.939294186,1.313209767,0.837586977,0.825064419,0.659563488,0.798889302,1.018303023,0.968298837,0.805752791,0.654720698,0.924794884,0.879993721,1.113197442,0.700483488,0.882857411,5.118362558,6.703505581,8.328728837,5.429732093,5.118093721,4.077865814,4.572693721,7.032200233,6.424403953,4.970181163,3.680218372,4.816677907,6.101405581,7.69027186,4.572985349,5.64248845,1.078828253,0.270065602,1.069011832,0.753089974,0.751470679,1.038666575,0.123928604,-1.157107605,-1.183876342,-0.088024262
Middle Snake-Powder,170502,371,6,2.015999979,0.851666667,0.563333333,0.374089798,0.881743333,0.886438333,1.119181667,0.785091667,0.766383333,0.77466,0.913851667,0.848043333,0.88962,0.763583333,0.727253333,0.850415,0.811891667,1.008341667,0.821676667,0.856545,3.560558333,3.878536667,4.71878,3.268983333,2.97433,3.262665,3.365108333,3.92648,3.628968333,3.066073333,2.652461667,2.95543,3.484136667,4.360623333,3.571866667,3.511666778,1.233947659,0.304490523,1.045243517,0.75055535,0.545513299,1.110831967,0.253227642,-1.816039732,-1.218070407,0.290306533
Middle Tennessee-Hiwassee,60200,118,7,2.045000027,0.93,0.76,0.675689401,0.68616,0.670357143,0.515395714,0.46247,0.52537,0.686255714,0.697052857,0.853957143,0.611322857,0.483644286,0.689938571,0.515837143,0.635021429,0.435782857,0.597628571,0.604412952,1.23241,1.159802857,0.838098571,0.733832857,0.8546,1.142148571,1.21686,1.709211429,1.13468,0.801117143,1.180918571,0.88009,1.061607143,0.727792857,1.023952857,1.046474857,1.376445178,0.310693318,1.145191014,0.871779789,0.019728798,1.173220004,0.276525165,0.954817933,0.417342264,0.617379037
Milk,100500,209,18,2.298888882,0.904360287,0.687099977,0.270055937,0.964843333,1.148163889,0.825337222,0.886108889,0.869065556,0.912908333,0.954912778,0.862101667,0.752460556,1.007131111,0.641172222,0.789821111,0.827913333,0.695635,0.818458889,0.863735593,5.525991667,7.766409444,3.337911667,5.027700556,4.05895,4.889362222,5.366675,4.389620556,3.898917778,5.337041667,2.910435556,3.411291667,4.406517778,2.957922222,3.656487222,4.462749,1.138061998,0.36151798,1.106948163,0.828914939,0.649602461,1.066799887,0.467421169,-0.105393691,-0.160938143,0.059466079
Mimbres,130302,242,4,1.089999989,0.866666667,0.533333333,0.210076086,0.3893775,0.56486,0.40451,0.5806125,0.4372,0.51721,0.3840125,0.4897225,0.52002,0.4234975,0.4530825,0.3640625,0.622305,0.4838075,0.489565,0.474923,6.716655,9.687575,8.395825,13.0071275,5.40771,7.61209,4.9718925,6.1918675,6.80291,8.5930875,6.180025,8.605665,15.43047,6.500405,6.3904025,8.032913833,0.451511053,0.037426493,1.061211327,0.730296743,0.904873108,0.671945721,-0.749857363,-1.373362019,-1.491374885,-2.010577264
Minnesota,70200,189,224,3.31180327,0.904576497,0.812369849,0.405302829,0.730898919,0.654497252,0.822571351,0.882552342,0.646927748,0.573438243,0.819876171,0.673407027,0.75612455,0.724713153,0.520378514,0.805708739,0.800681577,0.773706757,0.663916441,0.723293252,2.101787748,1.579666306,1.849987342,2.326224865,1.598690811,1.427563018,2.061759775,1.65433964,1.85517545,1.752593964,1.263081396,1.904533829,2.273838964,1.727351982,1.63349,1.800672339,1.241124147,0.520064531,1.1072408,0.901315621,0.255434693,1.114057515,1.062917566,-0.097280866,0.815803792,0.307216634
Mississippi Headwaters,70101,186,41,2.873170733,0.919288502,0.754922996,0.479933097,0.789498537,0.740622683,0.836497073,0.932118537,0.771619024,0.761886098,1.044242439,0.753157317,0.792117561,0.853026585,0.701338049,0.925857805,0.832130488,0.700913171,0.701161951,0.809079154,1.72462,1.368181951,1.504622439,1.897317805,1.50890122,1.41748,2.10823,1.579716585,1.556561463,1.672266585,1.374889024,1.713040244,1.767309024,1.321780488,1.249771951,1.584312585,1.764735912,0.458361434,1.128253998,0.868863048,0.199840872,1.328433631,0.831162466,0.485270813,0.377993146,1.431094488
Missouri Headwaters,100200,204,5,1.136666676,0.924,0.772,0.319175717,0.849602,1.081412,0.985588,0.909454,0.94834,0.820428,0.966244,0.760066,0.908362,0.828164,0.764554,0.893674,1.12374,0.885106,0.661776,0.892434,3.5906,4.506314,3.377942,3.281706,3.26915,2.817558,3.803984,3.319808,3.594664,3.055132,2.859408,3.2587,5.51386,3.731964,2.50609,3.499125333,1.383773804,0.055633128,1.135508642,0.878635305,0.543959498,1.176339153,-0.681473755,0.686392241,0.509828557,0.633731339
Missouri-Little Sioux,102300,132,47,2.497750007,0.912849967,0.789362267,0.422848263,0.797196383,0.647680213,0.788462766,0.759391915,0.699938936,0.693284894,0.689561702,0.538687021,0.602831489,0.668377234,0.583145106,0.778783191,0.688780851,0.734074043,0.521811702,0.679467163,2.498115957,1.676313617,2.033210638,2.119740213,1.768658723,1.92736617,1.971381702,1.365146383,1.469148723,1.626642128,1.371967872,1.951222128,2.259837872,1.732680638,1.376092766,1.809835035,1.106850568,0.397548969,1.118775581,0.888460616,0.257638991,1.052069659,0.602752553,0.222499398,0.642379699,-0.0177579
Missouri-Nishnabotna,102400,198,135,1.913076921,0.922280292,0.771610832,0.453220958,0.731522074,0.591920889,0.814824963,0.709669037,0.717396741,0.632465852,0.641834963,0.509791037,0.56253837,0.596569926,0.56898437,0.601040074,0.675826296,0.708248222,0.583554963,0.643079185,2.203391778,1.477506963,2.294383259,2.073053852,1.689413259,1.733049704,1.893238,1.272309333,1.342756148,1.420403926,1.30127637,1.643140148,2.383935926,1.698664741,1.475006222,1.726768642,1.04149069,0.281732433,1.132827261,0.878413816,0.237234153,1.020534512,0.167748891,0.612055968,0.506840487,-0.183082537
