NAME,HUC6,OBJECTID,N,HDIdgi,oc,clay,silt,sand,wpg2,wp,fc,tp,ep,Ks,wsolidityu2,wroundu2,wsizemean,wgrademean,denvfroots,denfroots,denmroots,dencoroots,etDp2000,etDp2001,etDp2002,etDp2003,etDp2004,etDp2005,etDp2006,etDp2007,etDp2008,etDp2009,etDp2010,etDp2011,etDp2012,etDp2013,etDp2014,petDp2000,petDp2001,petDp2002,petDp2003,petDp2004,petDp2005,petDp2006,petDp2007,petDp2008,petDp2009,petDp2010,petDp2011,petDp2012,petDp2013,petDp2014,n,asinHDIdgi,log10oc,sqrtclay,sqrtsand,log10wpg2,sqrtwp,log10tp,sqrtep,sqrtKs,angularwsolidityu2,asinwroundu2,log10wsizemean,log10wgrademean,log10denvfroots,log10denfroots,log10denmroots,log10dencoroots,sqrtn
Smoky Hill,102600,146,24,0.437140894,1.686363627,25.51250013,60.99999984,13.47916662,0,0.197465001,0.302873335,0.515723275,0.21284994,72.22135701,0.914838777,0.705738779,1.788101874,1.311726497,0.000111701,0.111903923,0,0,0.58104,0.58299,0.629649583,0.593551667,0.537044167,0.48655,0.45333625,0.571105417,0.486005417,0.58024625,0.606983333,0.475223333,0.594685,0.553719583,0.48780375,3.475991667,2.813844167,4.029735417,3.017336667,2.471589167,2.507199167,2.900902083,2.257019167,2.096244583,2.432142917,2.611087083,2.74340625,4.576487083,2.761636667,2.633969583,0.671752782,0.722372286,0.226951226,5.050990015,3.671398455,-2,0.444370342,-0.287583268,0.46135663,8.498314951,1.121653172,0.997435479,0.252392258,0.117843291,-3.951942658,-0.951154688,-6,-5,0.81960526
Snake Headwaters,170401,366,4,0.29163496,3.68749997,26.82499981,43.62499952,29.5250001,47.33333333,0.131536664,0.323610002,0.626415091,0.302805088,204.2712574,0.9225,0.775,3.997676196,1.75,0.000670206,0.026024168,0.000784267,0,0.6563075,0.699375,0.73531,0.692355,0.5917075,0.6160825,0.6133275,0.7299375,0.6528875,0.6537125,0.54972,0.6075725,0.6406125,0.6911175,0.5003375,2.2464975,2.854165,2.364635,2.4059125,1.84528,1.7733325,1.95914,2.7200025,1.9312325,1.851155,1.7370475,1.62169,2.46001,2.3877275,1.535125,0.929782624,0.570475569,0.566732025,5.179285646,5.433691204,1.67516709,0.362679837,-0.203137788,0.550277283,14.29234961,1.133167637,1.076580282,0.601807614,0.243038049,-3.173791408,-1.584623144,-3.105535953,-5,0.964252365
South Platte,101900,95,53,0.282166625,1.393823536,17.8056604,30.74716975,51.44717011,4,0.12180591,0.225670913,0.482675809,0.257004896,122.9283965,0.916260701,0.750104915,5.297692606,1.176470588,0.001994534,0.051527853,0.000501931,0.000314064,0.762116863,0.758679216,0.915607843,0.703236471,0.680460392,0.658732353,0.678355294,0.612027255,0.696413725,0.57807549,0.721766863,0.609541373,0.84159549,0.659587647,0.633852745,5.377981176,4.242188627,7.06755549,4.23628902,3.955270784,3.879944314,4.920533333,3.560118627,4.08495902,2.871742549,3.845883333,3.39,7.674108431,3.705231569,3.286512941,0.786207547,0.560008719,0.144207794,4.21967539,7.17266827,0.602059991,0.349007034,-0.316344467,0.506956503,11.0873079,1.123737472,1.047318705,0.724086755,0.070581074,-2.700158481,-1.287957953,-3.299355979,-3.502981304,0.886683454
Southeastern Lake Michigan,40500,143,71,0.252479402,2.145438602,10.78732388,24.68169024,64.53098562,5.020833333,0.105233846,0.284792226,0.428679246,0.139107144,39.66218582,0.925632458,0.768735083,4.097831895,1.362763004,0.002952738,0.103947963,0.001913612,0.001929253,0.583165211,0.591572254,0.829232113,0.638500423,0.645004366,0.712713239,0.562136056,0.631724085,0.543610563,0.550583521,0.722539437,0.540212254,0.76515338,0.595027324,0.602036056,1.302902113,1.194983662,1.530252817,1.25629662,1.227229014,1.511235775,1.146799155,1.337103099,1.072681831,1.10819662,1.546864085,1.026259014,1.725034648,1.115381127,1.197797746,1.230552676,0.526457042,0.33151609,3.284406168,8.033118051,0.700775805,0.324397666,-0.367867542,0.372970702,6.297792139,1.138091292,1.069115288,0.612554138,0.134420335,-2.529775079,-0.983184017,-2.718146127,-2.71461089,1.109302788
Southern Mojave,181001,81,3,0.896994069,0.374999985,27.59999935,28.63333257,43.76666705,15.66666667,0.275219987,0.454300002,0.584905651,0.13060565,13.48158123,0.9,0.82,14.14213562,1,0.004825486,0,0,0,0.9237,0.54336,1.34781,0.36246,0.299365,0.350625,1.57984,0.468835,0.45089,0.91645,0.3287,0.619665,0.58326,0.686075,0.77816,34.20808,17.67117,86.765335,14.181635,10.09574,8.876705,86.459875,25.54015,16.294515,40.044485,10.288205,23.746485,27.03433,32.06788,41.505545,0.484872441,1.244068832,-0.42596875,5.253570153,6.615638068,1.194976603,0.524614131,-0.232914182,0.361394037,3.671727282,1.101134743,1.132647296,1.150514998,0,-2.316458912,-3,-6,-5,0.696327826
Southern Oregon Coastal,171003,361,32,0.331018958,4.764999978,23.328125,43.78750014,32.88437533,10.32258065,0.166830587,0.319161174,0.639067706,0.319906532,232.2772159,0.924268852,0.771462297,2.482151272,2.115135102,0.010857344,0.096126771,0.002352802,0.006502114,0.631560313,0.69535125,0.57083875,0.587902188,0.642350938,0.55211375,0.487475313,0.673225625,0.667431875,0.783711563,0.481360313,0.645320625,0.432749063,1.093692813,0.590074688,1.24167625,1.491735313,1.284905,1.226301563,1.281215,1.0710625,1.0178225,1.353898125,1.439816563,1.725160625,0.953284688,1.264094375,0.857563125,2.33046,1.245546563,1.240444547,0.613022798,0.678062903,4.829919772,5.73448998,1.013788284,0.408449002,-0.194453128,0.565602805,15.24064355,1.135931443,1.072356048,0.394828246,0.325338113,-1.964276393,-1.017155645,-2.628414699,-2.1869454,1.113752462
Southwestern Lake Huron,40801,180,5,0.573178232,2.323999977,32.09999962,34.9,33.00000057,1.8,0.193643335,0.274889991,0.43522014,0.160330148,25.08896423,0.912,0.796,8.615666756,1.8,0.000603186,0.105397881,0.0005882,0,0.728562,0.85712,0.917848,0.746892,0.796692,0.834392,0.645324,0.8244,0.665956,0.715854,0.884204,0.649042,0.848202,0.670348,0.612734,1.365774,1.534346,1.50127,1.327238,1.318822,1.509322,1.197426,1.59597,1.145596,1.223648,1.601538,1.056034,1.569644,1.168066,1.011702,1.754320904,0.858840195,0.366236119,5.665686156,5.744562696,0.255272505,0.440049241,-0.361291016,0.400412473,5.008888522,1.11755878,1.102167247,0.935288893,0.255272505,-3.219548899,-0.97716812,-3.23047469,-5,1.324507797
Spokane,170103,365,9,0.15152008,1.953333338,19.5444444,62.94444529,17.51111126,14.125,0.160194998,0.383905002,0.56886792,0.184962918,48.7007294,0.87866924,0.613598181,4.939213518,1.31535484,0.004775221,0.032790452,0.00017646,0,0.919615,0.87818375,1.04690125,0.834765,0.91422875,0.92402875,0.717815,0.92935125,0.84002125,0.76010625,0.77145875,0.7383575,0.59713875,0.8550675,0.68446,2.4008125,2.65559625,3.0262625,2.71369,2.41974875,2.77101,2.2072475,2.9611975,2.71002125,2.56855625,1.97732625,2.2409025,1.63299,2.65169875,2.2481625,1.360590732,0.399823536,0.290776362,4.420909907,4.184627971,1.149988456,0.400243673,-0.244988557,0.430073154,6.978590789,1.074787159,0.899997056,0.693657801,0.119042927,-2.321006539,-1.484252598,-3.753353432,-5,1.166443626
St. Croix,70300,350,31,0.258447086,1.985862064,9.577419392,33.96451616,56.45806454,3.666666667,0.14166167,0.348793327,0.467295596,0.118502269,22.98174377,0.919093052,0.781813896,5.38571977,1.534220958,0.006954377,0.058324753,0.003852136,0.003694875,0.743107,0.671098667,0.622204,0.803916,0.641455667,0.679023333,0.936655,0.707882,0.749206,0.825730333,0.592107333,0.831801333,0.731624667,0.687418,0.557149667,1.665340667,1.260535,1.076678333,1.586705333,1.238624,1.34539,1.962743,1.511466333,1.480088333,1.749057,1.165597333,1.522967,1.608733333,1.282275667,0.976100333,1.458913599,0.533298916,0.29794908,3.094740602,7.513858166,0.56427143,0.376379688,-0.330408312,0.344241586,4.793927802,1.127959132,1.084783714,0.731243752,0.185887911,-2.157741749,-1.234147089,-2.414298399,-2.43240023,1.207854958
St. Francois River,41505,344,3,0,5.196666638,7.766666412,52.26666641,39.96666718,5.666666667,0.157433333,0.325640019,0.562264141,0.236624122,86.06409279,0.93,0.76,2.270853066,1.666666667,0.016889202,0,0,0,0.45927,0.64882,0.486033333,0.47071,0.54423,0.47434,0.433026667,0.486726667,0.47112,0.493103333,0.47344,0.399986667,0.5552,0.460943333,0.49408,0.68847,1.012983333,0.772543333,0.747103333,0.85646,0.747906667,0.68504,0.744413333,0.727413333,0.78846,0.760016667,0.608703333,0.860493333,0.734933333,0.747866667,1.234438697,0,0.715724858,2.78687395,6.32191958,0.753327667,0.396778696,-0.250059613,0.486440255,9.277073503,1.145191014,1.058823639,0.356189034,0.22184875,-1.772390867,-3,-6,-5,1.111052968
